symbol_id,abb_zhname,name,registration,industry,tax_ID,found,listing,abb_enname,website,currency,par_value,description,type,enname
6148,驊宏資,驊宏資通股份有限公司,,30.0,86468118,1991-12-27,2002-02-01,AZION,https://www.azion.com.tw,TWD,10.0,,,
6150,撼訊,撼訊科技股份有限公司,,25.0,16238655,1997-10-08,2002-03-11,Tul,https://www.tul.com.tw,TWD,10.0,,,
6151,晉倫,晉倫科技股份有限公司,,31.0,12390496,1982-07-15,2002-02-25,GINAR　　,https://www.ginar.com.tw,TWD,10.0,,,
6154,順發,順發電腦股份有限公司,,29.0,89743949,1995-12-21,2002-02-18,Sunfar　　,http://www.sunfar.com.tw,TWD,10.0,,,
6156,松上,松上電子股份有限公司,,28.0,22944019,1988-06-13,2002-02-19,SONG SHANG　　,https://www.song-shang.com.tw,TWD,10.0,,,
6158,禾昌,禾昌興業股份有限公司,,28.0,22006020,1986-01-11,2002-02-19,P-TWO　　,https://www.p-two.com,TWD,10.0,,,
6160,欣技,欣技資訊股份有限公司,,25.0,23058518,1988-10-12,2002-03-01,Cipherlab　,http://www.cipherlab.com.tw,TWD,10.0,,,
6161,捷波,捷波資訊股份有限公司,,25.0,22178466,1986-08-04,2002-03-01,JETWAY　,https://www.jetway.com.tw,TWD,10.0,,,
6163,華電網,華電聯網股份有限公司,,27.0,84778623,1994-05-04,2002-03-19,HWACOM　　,https://www.hwacom.com,TWD,10.0,,,
6167,久正,久正光電股份有限公司,,26.0,22100566,1991-09-02,2002-03-26,POWERTIP,https://www.powertip.com.tw,TWD,10.0,,,
6169,昱泉,昱泉國際股份有限公司,,32.0,23296194,1989-04-18,2002-03-22,InterServ,https://www.interserv.com.tw,TWD,10.0,,,
6170,統振,統振股份有限公司,,27.0,12135600,1977-08-19,2002-04-16,WELLDONE　,https://WWW.WELLDONE.COM.TW,TWD,10.0,,,
6171,亞銳士,台灣亞銳士股份有限公司,,14.0,89596101,1995-08-14,2002-04-22,Aries　　,https://www.aries-net.com.tw,TWD,10.0,,,
6173,信昌電,信昌電子陶瓷股份有限公司,,28.0,23641338,1990-05-21,2002-04-19,P.D.C.　,https://www.pdc.com.tw/,TWD,10.0,,,
6174,安碁,安碁科技股份有限公司,,28.0,22100469,1990-12-01,2002-05-02,AKER　　,https://www.aker.com.tw,TWD,10.0,,,
6175,立敦,立敦科技(股)有限公司,,28.0,84607396,1993-11-09,2002-06-10,　　LITON,http://www.liton.com.tw,TWD,10.0,,,
6179,亞通,亞通利大能源股份有限公司,,20.0,89491275,1995-04-22,2002-05-17,ATE ENERGY.INC,https://www.ateenergy.com.tw,TWD,10.0,,,
6180,橘子,遊戲橘子數位科技股份有限公司,,32.0,89550029,1995-06-12,2002-05-21,GAMANIA,http://www.gamania.com,TWD,10.0,,,
6182,合晶,合晶科技股份有限公司,,24.0,16138282,1997-07-24,2002-05-16,WAFER WORKS,Http://www.waferworks.com,TWD,10.0,,,
6185,幃翔,幃翔精密股份有限公司,,28.0,22906009,1988-04-26,2002-08-09,PLASTRON,https://www.plastron.com.tw,TWD,10.0,,,
6186,新潤,新潤興業股份有限公司,,14.0,16318881,1998-03-30,2002-08-02,Shin Ruenn,http://www.shinruenn.com,TWD,10.0,,,
6187,萬潤,萬潤科技股份有限公司,,31.0,97015768,1996-05-24,2002-09-27,ALL RING,https://www.allring-tech.com.tw,TWD,10.0,,,
6188,廣明,廣明光電股份有限公司,,25.0,16836218,1999-02-10,2002-08-27,QSI　,https://www.qsitw.com,TWD,10.0,,,
6190,萬泰科,萬泰科技股份有限公司,,27.0,04674153,1978-06-19,1998-02-04,WONDERFUL　　,http://www.wontex.com,TWD,10.0,,,
6194,育富,育富電子股份有限公司,,28.0,45082694,1983-02-21,2002-12-05,YUFO,https://www.yufo.com.tw,TWD,10.0,,,
6195,詩肯,詩肯股份有限公司,,18.0,89403884,1995-10-09,2002-10-21,SCAN-D,https://www.topshine.tw,TWD,10.0,,,
6198,凌泰,凌泰科技股份有限公司,,24.0,16759177,1998-10-29,2002-12-26,AVERLOGIC,http://www.averlogic.com,TWD,10.0,,,
6199,天品,天品聯合企業股份有限公司,,20.0,84228281,1993-04-03,2016-10-07,TienPin,https://www.datafab.com,TWD,10.0,,,
6203,海韻電,海韻電子工業股份有限公司,,28.0,04329168,1975-09-19,2002-12-26,Sea Sonic,https://www.seasonic.com,TWD,10.0,,,
6204,艾華,台灣艾華電子工業股份有限公司,,28.0,43408984,1970-02-14,2002-11-13,ALPHA,https://www.taiwanalpha.com,TWD,10.0,,,
6207,雷科,雷科股份有限公司,,28.0,22837088,1988-09-06,2002-12-23,LASERTEK,https://www.lasertek.com.tw,TWD,10.0,,,
6208,日揚,日揚科技股份有限公司,,28.0,16101031,1997-05-29,2002-12-23,Htc,http://www.htcvacuum.com/,TWD,10.0,,,
6210,慶生,慶生電子股份有限公司,,28.0,45190379,1984-10-05,2003-02-14,　　KINTECH,https://WWW.KINTECH.COM.TW,TWD,10.0,,,
6212,理銘,理銘開發股份有限公司,,14.0,07611076,1977-11-08,2002-12-26,LI MING,http://www.met.com.tw,TWD,10.0,,,
6217,中探針,中國探針股份有限公司,,28.0,22059031,1986-01-22,2003-01-09,C.C.P.,https://www.ccpcontactprobes.com/,TWD,10.0,,,
6218,豪勉,豪勉科技股份有限公司,,27.0,12223097,1979-04-26,2003-01-14,Hauman,https://www.hauman.com.tw,TWD,10.0,,,
6219,富旺,富旺國際開發股份有限公司,,14.0,97447647,1997-04-23,2003-02-26,FULL WANG,https://www.fwgroup.com.tw,TWD,10.0,,,
6220,岳豐,岳豐科技股份有限公司,,28.0,45911735,1983-09-03,2003-01-09,YFC-BONEAGLE,https://www.cables.com.tw,TWD,10.0,,,
6221,晉泰,晉泰科技股份有限公司,,30.0,84981323,1994-06-24,2003-01-06,Genesis　,https://www.genesis.com.tw,TWD,10.0,,,
6222,上揚,上揚科技股份有限公司,,26.0,22182927,1986-08-15,2003-01-09,Sotac,http://www.sotac.com.tw,TWD,10.0,,,
6223,旺矽,旺矽科技股份有限公司,,24.0,89647050,1995-07-25,2003-01-06,MPI,https://www.mpi.com.tw,TWD,10.0,,,
6227,茂綸,茂綸股份有限公司,,29.0,20811962,1979-02-08,2003-01-14,Macnica Galaxy,http://www.macnica.com,TWD,10.0,,,
6228,全譜,全譜科技股份有限公司,,25.0,84560006,1993-09-20,2003-01-21,PIE,https://www.scanace.com,TWD,10.0,,,
6229,研通,研通科技股份有限公司,,24.0,86491265,1992-03-02,2003-01-14,V-TAC,https://www.vtac.com.tw,TWD,10.0,,,
6231,系微,系微股份有限公司,,30.0,16627697,1998-09-18,2003-01-23,Insyde,https://www.insyde.com,TWD,10.0,,,
6233,旺玖,旺玖科技股份有限公司,,24.0,16177572,1997-11-13,2003-02-20,PROLIFIC,https://www.prolific.com.tw,TWD,10.0,,,
6234,高僑,高僑自動化科技股份有限公司,,26.0,23712277,1990-05-02,2003-03-12,TERA AUTO,http://www.teraauto.com.tw/,TWD,10.0,,,
6236,康呈,康呈生醫科技股份有限公司,,20.0,16094290,1997-10-02,2003-03-31,CTB,https://www.cometruebio.com,TWD,10.0,,,
6237,驊訊,驊訊電子企業股份有限公司,,24.0,86315535,1991-12-05,2003-04-21,CMEI,http://www.cmedia.com.tw,TWD,10.0,,,
6240,松崗,松崗數位文創股份有限公司,,30.0,97446128,1997-04-19,2003-05-30,Sung  Gang,https://www.kingsinfo.com.tw,TWD,10.0,,,
6241,易通展,易通展科技股份有限公司(原享承),,27.0,86504769,1992-03-28,2003-04-08,AMIGO　,https://www.amigo.com.tw,TWD,10.0,,,
6242,立康,立康生醫事業股份有限公司(亨豐),,22.0,12549828,1985-04-16,2003-04-23,LI KANG,http://likangbio.com,TWD,10.0,,,
6244,茂迪,茂迪股份有限公司,,26.0,20889546,1981-06-03,2003-05-15,MOTECH,https://www.motech.com.tw,TWD,10.0,,,
6245,立端,立端科技股份有限公司,,27.0,22327466,1986-10-30,2003-05-19,　Lanner　,https://www.lannerinc.com,TWD,10.0,,,
6246,臺龍,臺龍電子股份有限公司,,26.0,12386388,1982-11-13,2003-06-18,TTFIC,https://www.tai-lon.com,TWD,10.0,,,
6247,淇譽電,淇譽電子科技股份有限公司,,31.0,34395565,1982-11-30,2003-07-04,JAZZ SPEAKERS　,http://www.jazzspeakers.com/,TWD,10.0,,,
